country,year,happiness_rank,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,perception_of_corruption,generosity,electricity_access_pc,prim_school_enrol_rate,ARV_coverage,battle_deaths,birth_rate,child_labour_pc,children_not_in_school_pc,CPI,GDP_growth,gini_index,income_top_10pc,income_bottom_10pc,internet_coverage,under5_mortality,smokers_pc,male_femaLe_labour_force_part,real_eff_xr,renew_elect_output,rural_pop_pc,youth_not_in_ed_emply,suicide_mortality,time_to_start_bus,alcohol_cons_percap,unemployment_pc,women_married_by_15,country,region,region
Finland,2019,1,7.769,1.34,1.587,0.986,0.596,0.393,0.153,100,99.2,,,10.1,,1.6,108.79,0.54,27.1,22.4,3.8,86.42,2.5,24.5,89.02,96.1,44.5,14.78,10.56,14,17,9.43,9.38,,Finland,"Western Europe","Western Europe"
Denmark,2019,2,7.6,1.383,1.573,0.996,0.592,0.41,0.252,100,98.69,79.0,,10.2,,0.63,107.13,2.34,28.2,23.8,3.7,96.33,4.1,21.1,85.93,94.43,65.51,12.47,7.03,10.9,3.5,9.61,6.28,,Denmark,"Western Europe","Western Europe"
Norway,2019,3,7.554,1.488,1.582,1.028,0.603,0.341,0.271,100,99.77,90.0,,11.3,,0.55,108.59,1.86,27.5,22.3,3.5,96.81,2.7,20.7,92.06,84.25,97.71,18.91,5.03,12.5,4,6.83,4.3,,Norway,"Western Europe","Western Europe"
Iceland,2019,4,7.494,1.38,1.624,1.026,0.591,0.118,0.354,100,98.64,76.0,,12.5,,1.26,117.85,4.44,26.8,22.5,3.9,98.2,2.6,15.2,92.33,113.76,99.98,6.3,4.55,14.3,12,7.85,3.98,,Iceland,"Western Europe","Western Europe"
Netherlands,2019,5,7.488,1.396,1.522,0.999,0.557,0.298,0.322,100,,79.0,,10.1,,,109.18,1.96,28.2,23.0,3.5,91.72,4.1,24.6,83.85,95.96,12.44,9.83,4.67,11.8,3.5,9.38,6.87,,Netherlands,"Western Europe","Western Europe"
Switzerland,2019,6,7.48,1.452,1.526,1.052,0.572,0.343,0.263,100,99.63,74.0,,10.5,,0.03,98.17,1.64,32.3,25.2,3.2,87.48,4.3,26.2,83.91,110.48,62.2,26.28,9.35,15,10,10.69,4.8,,Switzerland,"Western Europe","Western Europe"
Sweden,2019,7,7.343,1.387,1.487,1.009,0.574,0.373,0.267,100,99.64,,,11.7,,0.8,103.59,4.49,29.2,22.9,2.9,90.61,2.9,27.9,93.38,93.24,63.26,13.45,6.72,15.7,7,9.45,7.43,,Sweden,"Western Europe","Western Europe"
"New Zealand",2019,8,7.307,1.303,1.557,1.026,0.585,0.38,0.33,100,97.73,69.0,,13.23,,1.17,107.94,3.74,,,,85.2,5.5,16.5,85.19,105.13,80.08,13.66,11.54,11.7,0.5,9.69,5.42,,"New Zealand","Australia and New Zealand","Australia and New Zealand"
Canada,2019,9,7.278,1.365,1.505,1.039,0.584,0.308,0.285,100,99.59,,,10.7,,0.29,108.67,0.65,33.7,25.5,2.5,90,5.4,15.8,86.55,83.27,63.01,18.74,13.27,13,1.5,9.92,6.95,,Canada,"North America","North America"
Austria,2019,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244,100,88.63,,,9.8,,1.34,110.69,1.01,30.5,23.8,3.0,83.94,3.7,31.2,83.93,98.33,76.49,42.28,11.04,16,22,12.19,5.8,,Austria,"Western Europe","Western Europe"
Australia,2019,11,7.228,1.372,1.548,1.036,0.557,0.29,0.332,100,97.11,78.0,,12.9,,0.03,112.04,2.2,,,,84.56,3.9,15.7,83.15,89.82,13.64,14.3,9.8,13.2,2.5,10.39,6.06,,Australia,"Australia and New Zealand","Australia and New Zealand"
"Costa Rica",2019,12,7.167,1.034,1.441,0.963,0.558,0.093,0.144,99.41,97.82,47.0,,14.52,,5.91,121.5,3.65,48.4,36.8,1.5,59.76,9.1,10.5,65.83,114.75,99,23.14,18.65,6.7,23,3.5,8.42,,"Costa Rica","Latin America and Caribbean","Latin America and Caribbean"
Israel,2019,13,7.139,1.276,1.455,1.029,0.371,0.082,0.261,100,97.56,,,21.3,,2.55,106.74,2.49,39.7,28.6,1.8,77.35,3.9,23.4,84.39,101.84,1.89,7.82,14.31,4.5,12,2.94,5.18,,Israel,"Middle East and Northern Africa","Middle East and Northern Africa"
Luxembourg,2019,14,7.09,1.609,1.479,1.012,0.526,0.316,0.194,100,97.99,66.0,,10.7,,2.63,109.2,2.27,32.9,25.1,2.9,96.38,2.8,23.2,83.43,97.12,32.38,9.82,6.16,12.2,16.5,11.71,6.67,,Luxembourg,"Western Europe","Western Europe"
"United Kingdom",2019,15,7.054,1.333,1.538,0.996,0.45,0.278,0.348,100,99.93,,,11.9,,1.87,110.96,2.22,33.3,25.7,3.0,92,4.5,19.3,83.44,113.76,24.84,17.37,11.05,8.8,4.5,10.52,5.3,,"United Kingdom","Western Europe","Western Europe"
Ireland,2019,16,7.021,1.499,1.553,0.999,0.516,0.31,0.298,100,99.95,73.0,,13.9,,,104.71,24.48,31.8,25.4,3.1,83.49,3.7,23.8,79.42,88.4,27.97,37.46,14.25,9.3,12,11.71,9.91,,Ireland,"Western Europe","Western Europe"
Germany,2019,17,6.985,1.373,1.454,0.987,0.495,0.265,0.261,100,89.44,,,9,,0.86,107.2,1.49,31.4,24.8,3.1,87.59,3.9,24.9,83.05,92.5,29.23,22.8,6.17,13.3,10.5,12.15,4.62,,Germany,"Western Europe","Western Europe"
Belgium,2019,18,6.923,1.356,1.504,0.986,0.473,0.21,0.16,100,98.38,,,10.8,,1.85,108.63,2.04,27.7,22.2,3.4,85.05,4.1,25.7,81.53,94.51,20.8,2.12,12.18,18.6,4.5,11.24,8.48,,Belgium,"Western Europe","Western Europe"
"United States",2019,19,6.892,1.433,1.457,0.874,0.454,0.128,0.28,100,94.6,,,12.4,,1.81,108.7,2.71,41.2,30.5,1.8,74.55,6.8,25.3,82.08,109.91,13.23,18.33,12.44,14.4,5.6,9.49,5.28,,"United States","North America","North America"
"United Arab Emirates",2019,21,6.825,1.503,1.31,0.825,0.598,0.182,0.262,100,99.89,,,11.48,,,109.35,6.79,,,,90.5,7.6,,,,0.23,14.33,,6.5,8.3,2.37,1.79,,"United Arab Emirates","Middle East and Northern Africa","Middle East and Northern Africa"
Malta,2019,22,6.726,1.3,1.52,0.999,0.564,0.151,0.375,100,98.98,,,9.7,,1.25,108.16,9.61,29.4,23.6,3.4,75.96,6.6,26.3,66.02,89.55,7.67,5.59,10.54,7.2,28,7.72,5.38,,Malta,"Western Europe","Western Europe"
Mexico,2019,23,6.595,1.07,1.323,0.861,0.433,0.073,0.074,99,99.32,41.0,,17.97,,0.32,119.41,2.7,,,,57.43,16.2,15.2,55.68,90.62,15.39,20.72,19.72,5.6,8.4,5.15,4.31,,Mexico,"Latin America and Caribbean","Latin America and Caribbean"
France,2019,24,6.592,1.324,1.472,1.045,0.436,0.183,0.111,100,99.0,79.0,3.0,12,,0.51,105.58,1.11,32.7,26.6,3.1,78.01,4.2,33.7,84.79,92.04,15.86,20.34,13.97,15.8,4,11.73,10.35,,France,"Western Europe","Western Europe"
Chile,2019,26,6.444,1.159,1.369,0.92,0.357,0.056,0.187,99.71,93.47,52.0,,13.21,,2.72,118.4,2.15,44.4,36.1,2.2,76.63,8,32.9,67.63,90.99,43.6,12.64,19.2,10,7.5,7.75,6.49,,Chile,"Latin America and Caribbean","Latin America and Caribbean"
"Saudi Arabia",2019,28,6.375,1.403,1.357,0.795,0.439,0.132,0.08,100,97.38,,81.0,19.52,,,116.62,4.69,,,,69.62,9.1,14.2,27.58,113.58,0,16.82,,6.3,23.3,0,5.6,,"Saudi Arabia","Middle East and Northern Africa","Middle East and Northern Africa"
Qatar,2019,29,6.374,1.684,1.313,0.871,0.555,0.167,0.22,100,96.18,41.0,,10.33,,3.98,112.39,4.75,,,,92.88,7.8,12.2,60.2,,0,1.06,,6.1,9.7,1.17,0.17,,Qatar,"Middle East and Northern Africa","Middle East and Northern Africa"
Spain,2019,30,6.354,1.286,1.484,1.062,0.362,0.079,0.153,100,99.47,76.0,,9,,3.04,106.51,3.84,36.2,26.2,1.9,78.69,3.3,29.7,81.94,93.87,34.95,20.4,15.64,7.9,14,9.94,22.06,,Spain,"Western Europe","Western Europe"
Panama,2019,31,6.321,1.149,1.442,0.91,0.516,0.054,0.109,91.6,87.74,,,20.11,,10.27,119.64,5.73,50.8,39.0,1.1,51.21,16.9,6.4,64.52,,65.33,33.3,18.45,2.9,6,6.59,4.37,,Panama,"Latin America and Caribbean","Latin America and Caribbean"
Brazil,2019,32,6.3,1.004,1.439,0.802,0.39,0.086,0.099,99.71,96.85,63.0,,14.73,2.54,4.41,138.39,-3.55,51.9,40.9,1.2,58.33,15.9,14.9,70.4,69.61,73.97,14.23,22.1,5.9,86,8.2,8.54,,Brazil,"Latin America and Caribbean","Latin America and Caribbean"
Uruguay,2019,33,6.293,1.124,1.465,0.891,0.523,0.15,0.127,99.71,99.92,55.0,,14.22,,0.59,150.1,0.37,40.1,29.8,2.1,64.57,8.9,24.3,75.68,107.38,88.56,4.96,18.73,18.6,6.5,6.02,7.49,,Uruguay,"Latin America and Caribbean","Latin America and Caribbean"
Singapore,2019,34,6.262,1.572,1.463,1.141,0.556,0.453,0.271,100,,62.0,,9.7,,0.24,113.22,2.98,,,,83.2,2.7,16.5,78.76,108.32,1.82,0,3.6,9,2.5,1.91,3.79,,Singapore,"Southeastern Asia","Southeastern Asia"
Italy,2019,36,6.223,1.294,1.488,1.039,0.231,0.03,0.158,100,98.27,72.0,,8,,1.5,107.5,0.78,35.4,25.8,1.7,58.14,3.5,23.8,67.55,93.83,38.68,30.44,21.33,7.1,11,7.68,11.9,,Italy,"Western Europe","Western Europe"
Bahrain,2019,37,6.199,1.362,1.368,0.871,0.536,0.11,0.255,100,98.03,33.0,,15.79,,0.4,110.53,2.49,,,,93.48,7.4,16.4,50.08,105.75,0,11,,7.4,9.4,1.89,1.17,,Bahrain,"Middle East and Northern Africa","Middle East and Northern Africa"
Poland,2019,40,6.182,1.206,1.438,0.884,0.483,0.05,0.117,100,,,,9.7,,,108.13,4.38,31.8,24.2,2.8,68,4.9,27.2,75.0,92.57,13.8,39.72,10.99,15.9,37,11.46,7.5,,Poland,"Central and Eastern Europe","Central and Eastern Europe"
Lithuania,2019,42,6.149,1.238,1.515,0.818,0.291,0.042,0.043,100,99.75,20.0,,10.8,,0.08,107.62,2.02,37.4,28.6,2.1,71.38,4.9,34.0,83.91,,39.41,32.77,9.2,34.9,5.5,14.17,9.12,,Lithuania,"Central and Eastern Europe","Central and Eastern Europe"
Colombia,2019,43,6.125,0.985,1.41,0.841,0.47,0.034,0.099,98.19,96.38,41.0,134.0,15.58,5.56,3.4,117.59,2.96,51.0,39.9,1.3,55.9,15.6,9.9,69.67,77.58,68.24,20.24,21.14,4.1,12,5.02,8.57,4.9,Colombia,"Latin America and Caribbean","Latin America and Caribbean"
Slovenia,2019,44,6.118,1.258,1.523,0.953,0.564,0.057,0.144,100,98.29,59.0,,10,,1.71,105.95,2.21,25.4,21.1,3.9,73.1,2.6,22.7,85.25,,29.39,46.22,9.51,21,6,11.58,9,,Slovenia,"Central and Eastern Europe","Central and Eastern Europe"
Nicaragua,2019,45,6.105,0.694,1.325,0.835,0.435,0.127,0.2,83.24,,36.0,,22.8,,,136.88,4.79,,,,19.7,18.8,,,102.08,50.05,42.1,,4.2,14,4.11,4.7,,Nicaragua,"Latin America and Caribbean","Latin America and Caribbean"
Argentina,2019,47,6.086,1.092,1.432,0.881,0.471,0.05,0.066,99.69,99.84,59.0,,17.35,,0.87,,2.73,,,,68.04,11.6,26.6,,,28.14,8.5,,8.3,24.5,8.57,7.58,,Argentina,"Latin America and Caribbean","Latin America and Caribbean"
Romania,2019,48,6.07,1.162,1.232,0.825,0.462,0.005,0.083,98.76,89.53,59.0,,10.2,,8.08,114.2,3.16,35.9,24.8,1.6,55.76,9.2,29.7,70.15,98.33,39.75,46.11,18.08,11.5,8,16.85,6.81,,Romania,"Central and Eastern Europe","Central and Eastern Europe"
Cyprus,2019,49,6.046,1.263,1.223,1.042,0.406,0.041,0.19,100,97.83,53.0,,11.21,,1.4,101.73,3.38,34.0,27.5,3.2,71.72,2.8,36.4,85.7,88.19,8.78,33.05,15.3,4.7,8,8.12,15.03,,Cyprus,"Western Europe","Western Europe"
Ecuador,2019,50,6.028,0.912,1.312,0.868,0.498,0.087,0.126,98.83,98.16,42.0,,18.74,5.56,0.89,121.48,0.1,46.0,34.9,1.6,48.94,15.4,12.8,65.14,,52.8,36.6,19.81,8.8,50.5,3.85,3.62,,Ecuador,"Latin America and Caribbean","Latin America and Caribbean"
Kuwait,2019,51,6.021,1.5,1.319,0.808,0.493,0.097,0.142,100,,,,16.89,,2.95,118.13,0.59,,,,82,9.1,18.3,65.22,,0,0,,2.6,31.4,0,2.2,,Kuwait,"Middle East and Northern Africa","Middle East and Northern Africa"
Thailand,2019,52,6.008,1.05,1.409,0.828,0.557,0.028,0.359,99.6,,61.0,57.0,10.61,,,110.34,3.13,36.0,28.4,3.2,39.32,10.8,24.1,78.4,,8.54,52.31,13.59,8,31,8.16,0.6,,Thailand,"Southeastern Asia","Southeastern Asia"
Latvia,2019,53,5.94,1.187,1.465,0.812,0.264,0.064,0.075,100,96.49,17.0,,11.1,,2.04,107.54,3.89,34.2,26.2,2.5,79.2,5.1,38.5,80.29,98.15,50.17,32.02,10.52,21.6,5.5,11.61,9.87,,Latvia,"Central and Eastern Europe","Central and Eastern Europe"
Estonia,2019,55,5.893,1.237,1.528,0.874,0.495,0.161,0.103,100,93.72,,,10.6,,2.72,111.47,1.85,32.7,24.4,2.7,88.41,3.1,33.3,81.05,,14.42,31.58,11.48,15.9,3.5,15.06,6.19,,Estonia,"Central and Eastern Europe","Central and Eastern Europe"
Jamaica,2019,56,5.89,0.831,1.478,0.831,0.49,0.028,0.107,94.9,85.39,36.0,,14.12,,,141.11,0.92,,,,42.22,15,11.0,80.06,,10.26,45.17,,2.2,3,3.39,8.82,,Jamaica,"Latin America and Caribbean","Latin America and Caribbean"
Mauritius,2019,57,5.888,1.12,1.402,0.798,0.498,0.06,0.215,99.57,96.28,20.0,,10.1,,1.68,119.75,3.69,,,,50.14,14.6,21.4,61.89,,22.72,59,20.09,7.9,6.5,7.4,7.41,,Mauritius,"Sub-Saharan Africa","Sub-Saharan Africa"
Japan,2019,58,5.886,1.327,1.419,1.088,0.445,0.14,0.069,100,,,,8,,0.14,103.59,1.56,,,,91.06,2.8,22.7,70.37,69.42,15.98,8.62,3.66,19.1,11.2,6.72,3.39,,Japan,"Eastern Asia","Eastern Asia"
Honduras,2019,59,5.86,0.642,1.236,0.828,0.507,0.078,0.246,89.98,78.43,45.0,,22.75,,22.18,129.3,3.84,49.2,36.6,1.3,27.1,20.5,,57.03,,42.28,44.84,26.96,4,41,2.85,6.15,,Honduras,"Latin America and Caribbean","Latin America and Caribbean"
Kazakhstan,2019,60,5.809,1.173,1.508,0.729,0.41,0.096,0.146,100,99.85,32.0,,22.71,,3.12,137.28,1.2,26.8,22.6,4.3,70.83,11.9,25.4,,,8.87,42.81,8.46,23.2,11,4.17,4.93,0.2,Kazakhstan,"Central and Eastern Europe","Central and Eastern Europe"
Bolivia,2019,61,5.779,0.776,1.209,0.706,0.511,0.064,0.137,91.52,88.7,25.0,,23.74,13.92,,133.65,4.86,46.7,34.8,1.1,37.49,31.6,15.6,68.66,137.63,31.4,31.61,14.56,6.4,49,4.31,3.11,,Bolivia,"Latin America and Caribbean","Latin America and Caribbean"
Hungary,2019,62,5.758,1.201,1.41,0.828,0.199,0.02,0.081,100,96.38,,,9.4,,4.29,111.38,3.71,30.4,23.8,3.0,72.83,5.1,33.2,75.03,88.32,10.58,29.5,11.58,19.9,7,10.68,6.81,,Hungary,"Central and Eastern Europe","Central and Eastern Europe"
Paraguay,2019,63,5.743,0.855,1.475,0.777,0.514,0.08,0.184,99.33,,41.0,,22.43,,,124.83,2.96,47.6,36.7,1.6,49.72,22.2,14.5,67.66,114.78,100,39.25,17.45,5.7,35,5.41,4.56,,Paraguay,"Latin America and Caribbean","Latin America and Caribbean"
Peru,2019,65,5.697,0.96,1.274,0.854,0.455,0.027,0.083,93.85,96.49,53.0,,18.81,22.57,,117.69,3.25,43.4,32.6,1.6,40.85,16.5,11.5,80.26,,52.73,22.64,18.59,2.7,41.5,7.55,3.27,,Peru,"Latin America and Caribbean","Latin America and Caribbean"
Portugal,2019,66,5.693,1.221,1.431,0.999,0.508,0.025,0.047,100,97.6,74.0,,8.3,,1.23,107.04,1.79,35.5,27.3,2.4,68.63,3.7,25.2,83.86,95.15,47.53,36.49,11.27,13.2,6,10.54,12.45,,Portugal,"Western Europe","Western Europe"
Pakistan,2019,67,5.653,0.677,0.886,0.535,0.313,0.098,0.22,90.98,61.53,5.0,2126.0,29.7,,,145.28,4.22,31.3,27.0,4.1,11,76.2,23.6,30.38,116.01,31.43,63.97,30.41,9,20,0.1,3.57,,Pakistan,"Southern Asia","Southern Asia"
