country,year,happiness_rank,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,perception_of_corruption,generosity,electricity_access_pc,prim_school_enrol_rate,ARV_coverage,battle_deaths,birth_rate,child_labour_pc,children_not_in_school_pc,CPI,GDP_growth,gini_index,income_top_10pc,income_bottom_10pc,internet_coverage,under5_mortality,smokers_pc,male_femaLe_labour_force_part,real_eff_xr,renew_elect_output,rural_pop_pc,youth_not_in_ed_emply,suicide_mortality,time_to_start_bus,alcohol_cons_percap,unemployment_pc,women_married_by_15,country,region,region
Philippines,2019,69,5.631,0.807,1.293,0.657,0.558,0.107,0.117,89.08,95.58,24.0,572.0,23.25,,6.01,115.43,6.35,44.6,34.9,2.3,36.9,29.8,25.4,65.38,111.49,25.41,53.72,22.84,2.3,25,5.85,3.07,,Philippines,"Southeastern Asia","Southeastern Asia"
Serbia,2019,70,5.603,1.004,1.383,0.854,0.282,0.039,0.137,99.9,99.21,54.0,,9.3,,1.91,132.96,1.81,40.5,29.2,1.1,65.32,6.3,40.9,72.07,,26.91,44.3,20.36,16.4,11.5,7.84,17.66,,Serbia,"Central and Eastern Europe","Central and Eastern Europe"
Moldova,2019,71,5.529,0.685,1.328,0.739,0.245,0,0.181,99.86,89.95,27.0,,14.9,,0.44,135.73,-0.34,27.0,22.5,4.1,43.1,15.8,27.9,97.53,99.12,5.37,57.51,15.77,16.2,6,11.35,1.78,,Moldova,"Central and Eastern Europe","Central and Eastern Europe"
Montenegro,2019,73,5.523,1.051,1.361,0.871,0.197,0.08,0.142,99.49,94.78,35.0,,11.9,,1.18,111.03,3.39,39.0,27.7,1.8,68.12,4.1,33.1,79.26,,49.65,34.19,19.15,20.7,12,9.55,17.55,,Montenegro,"Central and Eastern Europe","Central and Eastern Europe"
Tajikistan,2019,74,5.467,0.493,1.098,0.718,0.389,0.144,0.23,98,97.53,32.0,,31.23,,8.27,140.15,6.02,34.0,26.4,3.0,18.98,37.4,,,,98.47,73.26,,4.1,11,0.89,7.55,,Tajikistan,"Central and Eastern Europe","Central and Eastern Europe"
Croatia,2019,75,5.432,1.155,1.266,0.914,0.296,0.022,0.119,100,98.49,67.0,,8.9,,1.42,107.37,2.52,31.1,23.2,2.7,69.85,4.9,36.1,79.26,92.63,66.83,43.84,18.12,17.6,22.5,8.59,16.18,,Croatia,"Central and Eastern Europe","Central and Eastern Europe"
"Dominican Republic",2019,77,5.425,1.015,1.401,0.779,0.497,0.101,0.113,98.56,95.53,34.0,,20.6,,4.47,119.44,6.93,45.2,34.9,1.9,54.22,35.1,12.2,63.2,94.26,11.63,21.43,25.23,6.4,14.5,6.57,7.61,,"Dominican Republic","Latin America and Caribbean","Latin America and Caribbean"
"Bosnia and Herzegovina",2019,78,5.386,0.945,1.212,0.845,0.212,0.006,0.263,99.7,,,,8.84,,11.35,,4.31,,,,52.6,6.3,37.7,60.95,,35.52,52.83,28.35,10.7,82,5.95,27.69,,"Bosnia and Herzegovina","Central and Eastern Europe","Central and Eastern Europe"
Belarus,2019,81,5.323,1.067,1.465,0.789,0.235,0.142,0.094,97.37,94.26,33.0,,12.5,,4.58,387.09,-3.83,25.6,21.2,4.1,62.23,4.1,33.0,108.37,,0.82,22.82,,24.3,9,11.04,5.88,,Belarus,"Central and Eastern Europe","Central and Eastern Europe"
Greece,2019,82,5.287,1.181,1.156,0.999,0.067,0.034,0,100,97.33,56.0,,8.5,,2.18,100.77,-0.2,36.0,26.2,1.9,66.83,4.4,37.9,74.55,89.31,28.66,21.95,17.9,5,13,7.48,24.98,,Greece,"Western Europe","Western Europe"
Mongolia,2019,83,5.285,0.948,1.531,0.667,0.317,0.038,0.235,87.97,96.8,28.0,,26.35,,4.84,162.55,2.38,,,,22.5,19.4,30.6,81.69,,3.08,31.77,16.81,20,12,9.66,4.86,,Mongolia,"Eastern Asia","Eastern Asia"
Nigeria,2019,85,5.265,0.696,1.111,0.245,0.426,0.041,0.215,52.5,,44.0,4637.0,39.51,,,158.93,2.65,35.9,26.9,2.8,24.5,126.4,4.7,,119.85,18.2,52.16,,3.7,30.3,4.39,4.11,,Nigeria,"Sub-Saharan Africa","Sub-Saharan Africa"
Morocco,2019,89,5.208,0.801,0.782,0.782,0.418,0.076,0.036,97.3,,44.0,,20.31,,,106.22,4.34,,,,57.08,23.6,16.2,34.57,96.84,14.31,39.19,,7.4,10.5,0.41,9.46,,Morocco,"Middle East and Northern Africa","Middle East and Northern Africa"
Azerbaijan,2019,90,5.208,1.043,1.147,0.769,0.351,0.182,0.035,100,94.26,23.0,63.0,17.2,,1.16,117.73,1.09,,,,77,26.3,25.2,91.09,,7.04,45.29,,4.1,3.5,1.44,4.96,,Azerbaijan,"Central and Eastern Europe","Central and Eastern Europe"
Lebanon,2019,91,5.197,0.987,1.224,0.815,0.216,0.027,0.166,99.74,,42.0,76.0,17.76,,,114.97,0.46,,,,74,9.4,38.7,,,2.6,11.89,,2.8,15,1.53,9.21,,Lebanon,"Middle East and Northern Africa","Middle East and Northern Africa"
Indonesia,2019,92,5.192,0.931,1.203,0.66,0.491,0.028,0.498,97.54,,12.0,,18.45,,,132.3,4.88,40.4,33.0,2.9,22.06,27.7,36.7,61.55,,10.65,46.69,22.92,2.4,49.3,0.11,4.51,,Indonesia,"Southeastern Asia","Southeastern Asia"
China,2019,93,5.191,1.029,1.125,0.893,0.521,0.1,0.058,100,,,5.0,11.99,,,114.92,7.04,38.6,29.4,2.6,50.3,10.7,25.9,,130.04,23.93,44.5,,8.1,31.4,7.35,4.65,,China,"Eastern Asia","Eastern Asia"
Bhutan,2019,95,5.082,0.813,1.321,0.604,0.457,0.167,0.37,95.36,90.13,15.0,,17.15,,11.38,148.66,6.64,,,,39.8,33.2,,78.59,,99.99,61.32,,4.5,15,0.32,2.45,,Bhutan,"Southern Asia","Southern Asia"
Cameroon,2019,96,5.044,0.549,0.91,0.331,0.381,0.037,0.187,58.62,95.2,33.0,924.0,37.81,,4.77,112.87,5.67,,,,18.3,88.1,8.4,,93.5,76.12,45.42,,9.5,16.5,10.72,3.51,,Cameroon,"Sub-Saharan Africa","Sub-Saharan Africa"
Bulgaria,2019,97,5.011,1.092,1.513,0.815,0.311,0.004,0.081,96.58,91.99,33.0,,9.2,,3.34,106.61,3.4,38.6,28.7,1.5,56.66,8.1,40.7,80.92,97.08,17.99,26.01,19.28,9.8,25,11.44,9.14,,Bulgaria,"Central and Eastern Europe","Central and Eastern Europe"
Ghana,2019,98,4.996,0.611,0.868,0.486,0.381,0.04,0.245,74,,26.0,,31.71,,15.38,182.64,2.12,,,,23,55.4,4.2,88.47,68.18,50.89,45.91,25.56,7.3,14,5.01,6.81,,Ghana,"Sub-Saharan Africa","Sub-Saharan Africa"
Nepal,2019,100,4.913,0.446,1.226,0.677,0.439,0.089,0.285,82.01,98.34,43.0,,22.05,,1.6,152.39,3.98,,,,17.58,35.5,36.0,92.47,,100,81.44,,8.5,17,1.22,10.66,,Nepal,"Southern Asia","Southern Asia"
Jordan,2019,101,4.906,0.837,1.225,0.815,0.383,0.13,0.11,99.89,,,1.0,24.44,,,116.4,2.5,,,,54.22,17.5,33.7,,,0.97,9.74,,1.5,12.5,0.37,13.08,,Jordan,"Middle East and Northern Africa","Middle East and Northern Africa"
Benin,2019,102,4.883,0.393,0.437,0.397,0.349,0.082,0.175,29.62,,48.0,,39.02,,,109.74,1.78,47.8,37.6,1.0,11.25,97.9,8.6,,,5.56,54.3,,8.1,12.5,8.1,1.81,,Benin,"Sub-Saharan Africa","Sub-Saharan Africa"
Gabon,2019,104,4.799,1.057,1.183,0.571,0.295,0.055,0.043,87.33,,44.0,,31.04,,,109.0,3.88,,,,45.78,50.4,,,92.54,43.74,11.88,,9.6,47,8.6,19.82,,Gabon,"Sub-Saharan Africa","Sub-Saharan Africa"
"South Africa",2019,106,4.722,0.96,1.351,0.469,0.389,0.055,0.13,85.3,95.65,56.0,,21.3,,5.21,130.29,1.32,,,,51.92,37.3,21.0,78.41,75.24,2.26,35.17,28.97,24.5,46,8.88,22.87,,"South Africa","Sub-Saharan Africa","Sub-Saharan Africa"
Albania,2019,107,4.719,0.947,0.848,0.874,0.383,0.027,0.178,99.98,97.8,39.0,,11.72,,,111.4,2.22,32.8,24.8,3.2,56.9,9.6,25.1,73.33,,100,42.57,29.82,4.8,5,5.04,17.19,,Albania,"Central and Eastern Europe","Central and Eastern Europe"
Cambodia,2019,109,4.7,0.574,1.122,0.637,0.609,0.062,0.232,62.72,95.56,66.0,,22.34,,5.23,117.5,6.97,,,,18,31.7,25.2,85.02,,46.42,77.81,6.59,5.1,87,7.06,0.39,,Cambodia,"Southeastern Asia","Southeastern Asia"
Senegal,2019,111,4.681,0.45,1.134,0.571,0.292,0.072,0.153,60.5,75.44,44.0,,35.36,25.14,24.28,104.6,6.37,,,,21.7,51,8.3,59.48,,10.42,54.14,36.26,6.4,6,0.37,6.76,8.5,Senegal,"Sub-Saharan Africa","Sub-Saharan Africa"
Niger,2019,114,4.628,0.138,0.774,0.366,0.318,0.102,0.188,16.6,62.49,40.0,368.0,46.56,,38.1,104.2,4.39,,,,2.48,120.2,7.9,,,0.75,83.75,,5.4,16,0.18,0.56,,Niger,"Sub-Saharan Africa","Sub-Saharan Africa"
"Burkina Faso",2019,115,4.587,0.331,1.056,0.38,0.255,0.113,0.177,16.15,69.96,54.0,,40.09,,32.26,107.75,3.92,,,,6.55,101.1,17.0,,,9.35,72.47,,8,13,9.66,4.53,,"Burkina Faso","Sub-Saharan Africa","Sub-Saharan Africa"
Armenia,2019,116,4.559,0.85,1.055,0.815,0.283,0.064,0.095,100,93.03,,9.0,14.64,,0.37,124.77,3.2,32.4,26.7,3.4,59.1,14.4,26.9,74.85,103.09,28.34,36.92,35.56,6.2,5,4.98,12.31,,Armenia,"Central and Eastern Europe","Central and Eastern Europe"
Guinea,2019,118,4.534,0.38,0.829,0.375,0.332,0.086,0.207,34.88,,31.0,,37.89,,25.15,185.58,3.83,,,,9.2,112.6,,,,78.75,64.86,,7.2,15,0.5,5.38,,Guinea,"Sub-Saharan Africa","Sub-Saharan Africa"
Georgia,2019,119,4.519,0.886,0.666,0.752,0.346,0.164,0.043,100,99.74,57.0,,15.79,,1.39,114.66,3.03,36.5,27.8,2.6,47.57,10.5,32.0,73.52,98.32,78.04,42.55,27.44,10.5,2,13.95,16.51,,Georgia,"Central and Eastern Europe","Central and Eastern Europe"
Kenya,2019,121,4.509,0.512,0.983,0.581,0.431,0.053,0.372,41.6,,63.0,48.0,30.96,,,150.19,4.97,40.8,31.6,2.4,16.59,45.9,12.8,,,87.51,74.34,,5.5,28,2.78,2.77,,Kenya,"Sub-Saharan Africa","Sub-Saharan Africa"
Mauritania,2019,122,4.49,0.57,1.167,0.489,0.066,0.088,0.106,39.5,,27.0,,35.18,,,123.42,5.38,,,,17.6,48.9,12.6,,,13.37,48.91,,3,8,0,10.1,17.8,Mauritania,"Sub-Saharan Africa","Sub-Saharan Africa"
Mozambique,2019,123,4.466,0.204,0.986,0.39,0.494,0.138,0.197,24,91.51,,,38.8,,3.53,126.29,7.39,,,,6.5,84,17.0,97.57,,86.41,65.6,,13.9,21,1.76,3.43,16.8,Mozambique,"Sub-Saharan Africa","Sub-Saharan Africa"
Tunisia,2019,124,4.461,0.921,1,0.815,0.167,0.055,0.059,99.9,,17.0,57.0,19.12,,0.91,124.28,0.97,32.8,25.6,3.2,46.5,17.2,26.6,37.85,97.49,2.84,31.94,,3.1,13,2.03,15.16,,Tunisia,"Middle East and Northern Africa","Middle East and Northern Africa"
Bangladesh,2019,125,4.456,0.562,0.928,0.723,0.527,0.143,0.166,74,,14.0,,19.16,,,144.56,6.55,,,,12.9,38,38.9,,,1.23,65.69,,3.4,19.5,0,4.38,,Bangladesh,"Southern Asia","Southern Asia"
Iraq,2019,126,4.437,1.043,0.98,0.574,0.241,0.089,0.148,99.45,,,10138.0,31.59,,,118.54,4.72,,,,15.2,29.8,19.1,,,3.73,30.08,,4.1,34.5,0.23,10.82,,Iraq,"Middle East and Northern Africa","Middle East and Northern Africa"
Mali,2019,128,4.39,0.385,1.105,0.308,0.327,0.052,0.153,37.6,60.64,33.0,172.0,44.34,,42.13,110.31,6.17,,,,10.33,115.6,9.9,76.75,,43.52,60.01,24.94,4.3,8.5,4.59,1.43,,Mali,"Sub-Saharan Africa","Sub-Saharan Africa"
"Sierra Leone",2019,129,4.374,0.268,0.841,0.242,0.309,0.045,0.252,19.66,97.8,19.0,,34.56,,1.39,134.09,-20.49,,,,6.34,141,18.1,,142.63,60.98,59.17,,5.9,10,0.31,4.74,,"Sierra Leone","Sub-Saharan Africa","Sub-Saharan Africa"
"Sri Lanka",2019,130,4.366,0.949,1.265,0.831,0.47,0.047,0.244,94.33,99.06,22.0,,15.89,,3.86,131.37,4.21,,,,15.26,8.8,23.3,47.93,,48.48,81.74,26.63,15.1,10,2.86,4.52,,"Sri Lanka","Southern Asia","Southern Asia"
Myanmar,2019,131,4.36,0.71,1.181,0.555,0.525,0.172,0.566,60.5,,41.0,629.0,18.4,,,129.32,6.99,38.1,31.7,3.0,10.9,51.8,48.8,64.34,,58.85,70.14,18.62,3.2,16,1.62,0.77,,Myanmar,"Southeastern Asia","Southeastern Asia"
Chad,2019,132,4.35,0.35,0.766,0.192,0.174,0.078,0.198,7.7,79.36,40.0,275.0,46.37,55.9,20.66,116.69,2.77,,,,3.5,129.5,9.4,,,0,77.48,,6.8,60,4.58,0.93,29.7,Chad,"Sub-Saharan Africa","Sub-Saharan Africa"
Ukraine,2019,133,4.332,0.82,1.39,0.739,0.178,0.01,0.187,100,,29.0,1786.0,10.7,,15.97,180.5,-9.77,25.5,21.6,4.2,48.88,9.4,28.4,81.26,71.56,4.38,30.94,17.63,21.6,8,9.73,9.14,,Ukraine,"Central and Eastern Europe","Central and Eastern Europe"
Ethiopia,2019,134,4.286,0.336,1.033,0.532,0.344,0.1,0.209,29,85.2,61.0,49.0,33.43,,17.64,207.29,10.39,35.0,28.5,2.9,13.86,62.4,5.5,,,99.96,80.57,,5.5,35,2.52,2.41,,Ethiopia,"Sub-Saharan Africa","Sub-Saharan Africa"
Uganda,2019,136,4.189,0.332,1.069,0.443,0.356,0.06,0.252,18.5,,58.0,,39.42,,13.39,149.96,5.19,,,,5.8,56,10.9,,101.21,92.95,77.94,,4.7,27,13.28,2.79,,Uganda,"Sub-Saharan Africa","Sub-Saharan Africa"
Zambia,2019,138,4.107,0.578,1.058,0.426,0.431,0.087,0.247,31.1,,63.0,,37.83,,,144.04,2.92,55.9,43.5,1.1,8.8,68.2,15.5,,86.74,96.99,58.09,,8.7,8.5,3.73,8.34,,Zambia,"Sub-Saharan Africa","Sub-Saharan Africa"
Togo,2019,139,4.085,0.275,0.572,0.41,0.293,0.085,0.177,44.75,94.05,40.0,,34.39,,5.8,111.18,5.47,43.1,31.6,1.9,7.12,75.9,8.2,124.01,94.37,75.31,59.9,17.76,9.7,10,1.72,2.2,,Togo,"Sub-Saharan Africa","Sub-Saharan Africa"
India,2019,140,4.015,0.755,0.765,0.588,0.498,0.085,0.2,88,,38.0,504.0,18.76,,,146.79,8,34.7,29.7,3.6,14.9,43.6,32.2,,,15.34,67.22,,12.3,30,4.96,7.89,,India,"Southern Asia","Southern Asia"
Liberia,2019,141,3.975,0.073,0.922,0.443,0.37,0.033,0.233,15.23,,20.0,,34.22,,,147.59,-0.02,,,,10,88.3,9.6,,,0,50.18,,4.5,6,3.63,2.56,,Liberia,"Sub-Saharan Africa","Sub-Saharan Africa"
Comoros,2019,142,3.973,0.274,0.757,0.505,0.142,0.078,0.275,74.08,,29.0,,32.15,,,,1.15,,,,7.46,61.2,23.5,,,0,71.53,,5.5,16,0.2,4.86,,Comoros,"Sub-Saharan Africa","Sub-Saharan Africa"
Madagascar,2019,143,3.933,0.274,0.916,0.555,0.148,0.041,0.169,23.76,,4.0,,32.76,,2.03,139.55,3.13,,,,4.17,66,31.3,93.7,,54.6,64.81,,5.5,13,1.01,1.79,,Madagascar,"Sub-Saharan Africa","Sub-Saharan Africa"
Lesotho,2019,144,3.802,0.489,1.169,0.168,0.359,0.093,0.107,31.77,89.24,51.0,,28.3,,13.81,127.05,3.12,,,,25,82.5,25.6,,78.33,100,73.09,,92.4,29,3.28,16.22,,Lesotho,"Sub-Saharan Africa","Sub-Saharan Africa"
Burundi,2019,145,3.775,0.046,0.447,0.38,0.22,0.18,0.176,7.89,,50.0,185.0,41.32,,8.18,154.02,-3.9,,,,2,67.9,13.9,,117.52,82.71,87.92,,6.4,4,4.19,1.52,,Burundi,"Sub-Saharan Africa","Sub-Saharan Africa"
Zimbabwe,2019,146,3.663,0.366,1.114,0.433,0.361,0.089,0.151,33.7,,64.0,,33.96,,15.16,106.21,2.02,,,,22.74,60.5,13.6,,,52.72,67.61,,18,91,3.75,5.41,3.7,Zimbabwe,"Sub-Saharan Africa","Sub-Saharan Africa"
Haiti,2019,147,3.597,0.323,0.688,0.449,0.026,0.11,0.419,40.8,,49.0,,25.51,,,129.16,1.4,,,,14.2,70.1,8.6,,,8,47.57,,10,97,3.22,13.72,,Haiti,"Latin America and Caribbean","Latin America and Caribbean"
Botswana,2019,148,3.488,1.041,1.145,0.538,0.455,0.1,0.025,62.13,,73.0,,26.41,,,132.88,-4.85,53.3,41.5,1.5,37.31,45.4,21.7,,,0.03,32.84,,19,48,7.08,18.88,,Botswana,"Sub-Saharan Africa","Sub-Saharan Africa"
Malawi,2019,150,3.41,0.191,0.56,0.495,0.443,0.089,0.218,10.8,,61.0,,35.77,48.9,,250.62,2.8,,,,6,56.6,13.1,,79.82,91.31,83.69,,6.2,38,3.37,4.93,9.0,Malawi,"Sub-Saharan Africa","Sub-Saharan Africa"
Rwanda,2019,152,3.334,0.359,0.711,0.614,0.555,0.411,0.217,22.8,,71.0,,31.83,,,126.35,8.86,,,,12.5,47.7,15.9,,,56.89,83,,5.7,6,1.37,11.85,0.4,Rwanda,"Sub-Saharan Africa","Sub-Saharan Africa"
Tanzania,2019,153,3.231,0.476,0.885,0.499,0.417,0.147,0.276,26.22,,48.0,,38.74,,19.92,158.02,6.16,,,,10,58,11.6,,,34.15,68.38,,4.2,29,11.65,2.13,,Tanzania,"Sub-Saharan Africa","Sub-Saharan Africa"
Afghanistan,2019,154,3.203,0.35,0.517,0.361,0,0.025,0.158,71.5,,5.0,17278.0,38.8,,,132.88,1.45,,,,8.26,70.2,26.0,,,86.05,75.2,,4,8.5,0.01,9,8.8,Afghanistan,"Southern Asia","Southern Asia"
"Central African Republic",2019,155,3.083,0.026,0,0.105,0.225,0.035,0.235,12.71,,29.0,27.0,41.04,,,133.05,4.34,,,,2.9,115.5,,,112.64,99.42,59.72,,14.4,22,1.94,6.01,,"Central African Republic","Sub-Saharan Africa","Sub-Saharan Africa"
